cluster,rank,similarity_to_centroid,customer_tweet_id,customer_text,support_text
0,1,0.79478264,643241,@AppleSupport Yes I’ve tried restarting but it’s still doing this periodically.,@272712 Thanks for confirming that for us. Which iOS version are you running on you iPhone? Check in Settings &gt; General &gt; About.
0,2,0.7547813,254090,@AppleSupport Yes. I have restarted it multiple times and the same thing keeps happening. Here’s another example of it. Just trying to do my homework :( https://t.co/Y57HmHWUOu,@176398 Got it. Let's look further into this in DM here: https://t.co/GDrqU2kzhr
0,3,0.7436346,484429,@AppleSupport Yeah I’ve updated it and then done all the little follow-up updates too but it’s still happening. I’ve reset it a bunch of times too and nothing fixes it still,@230271 We've just released iOS 11.2. Have you yet updated to that one?
0,4,0.734331,2280308,.@AppleSupport why is this happening? Nothing I’ve tried is fixing I️t. So annoying. https://t.co/OImweLrx3M,@662896 We're eager for you to have the latest iOS version. Which version are we currently working with? You'll find that in Settings &gt; General &gt; About. Are you connected to Wi-Fi or cellular data when checking for an available update?
0,5,0.7333009,2371070,@AppleSupport Yeah I️ updated it and then it started doing that,@684177 Understood. Go ahead and let us know what kind of device you have in DM and we can continue to work together. https://t.co/GDrqU22YpT
0,6,0.73132294,2647352,@746913 @AppleSupport did you ever fix it? im having the same issue right now :(,@746912 We'd love to work this out with you. Any USB devices attached currently? Please DM us. https://t.co/GDrqU22YpT
0,7,0.7258345,845553,"@AppleSupport Hey, it’s still doing this? Any ideas how to fix it?","@320987 Is your iPhone's orientation lock not working at all, or is the behavior intermittent? Does it seem to occur in one app?"
0,8,0.72391844,1367075,"@AppleSupport yes, that was the issue but i reset my phone and it’s working fine now.","@438234 Thank you for the update. We're glad to hear it's working properly now. If the issue occurs again, let us know."
1,1,0.8994585,374801,@AppleSupport 11.0.2 just updates to 11.0.3,@204872 Thanks for following up. Send us a DM if the issue persists after updating. https://t.co/GDrqU22YpT
1,2,0.89731073,743487,@AppleSupport 11.0.2,@297769 Thanks for following up. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT
1,3,0.89731073,2364504,@AppleSupport 11.0.2,"@682661 Thanks for letting us know. We want to make sure you have the latest software installed to help with this. If possible, let's get your iPhone backed up, then updated to the latest version 11.1.1: https://t.co/ahjigcvFRG"
1,4,0.89731073,869917,@AppleSupport 11.0.2,@326562 Let's backup the iPhone and update to iOS 11.0.3. Update the iOS software on your iPhone: https://t.co/80YRnjDFDk
1,5,0.89731073,84192,@AppleSupport 11.0.2,"@134515 This is a couple versions behind the latest iOS, but we'll try some additional steps first. When this happens, do you have the Music app open? Are you able to use the Music app without any issues otherwise?"
1,6,0.89731073,864872,@AppleSupport 11.0.2,@325403 Thank you. Which iPhone are you currently using? Let us know in DM. https://t.co/GDrqU22YpT
1,7,0.89731073,394565,@AppleSupport 11.0.2,@209481 Let's take this to DM so we can better assist you https://t.co/GDrqU22YpT
1,8,0.89731073,978353,@AppleSupport 11.0.2,"@352038 We released iOS 11.0.3 earlier today. Let's back up your iPhone and update. Then, please Tweet back for the next steps."
2,1,0.84859896,566805,I swear every time there’s a update/new iPhone . My phone messes up so much. @115858 WTH IS YOUR PROBLEM ❓❗️❓❗️,"@252889 We're sorry to hear that your iPhone is giving you some trouble. We're happy to see what we can do to help. 
What's going on?"
2,2,0.83600783,119540,I got a brand new iPhone yesterday and I’m having the same problems that I had with the old one....@115858,@142526 We'd like to help. What kind of issues are you having? We can provide you with specific troubleshooting steps based on that.
2,3,0.81839305,1818201,Ever since I’ve updated my iOS my phone has done nothing but freeze🤦🏾‍♂️ @115858 get it together. This is a brand new phone too no excuses,@546143 DM us if this unresponsiveness is within certain apps or appears system wide. Which iOS version installed? We'll help. https://t.co/GDrqU22YpT
2,4,0.8155133,828362,"Dear @AppleSupport , what the hell have you done with the new iOS update. My iPhone is almost unusable. Crash, freeze, clunky #nothappy 😡",@317336 We'd like to help with this. Could you let us know in DM which iPhone you're having this issue with? https://t.co/GDrqU22YpT
2,5,0.8098441,2349438,My iPhone has been complete garbage since the updates @AppleSupport. Time for a change.,@679125 We'd like to help. What's happening with your iPhone? Have you tried any specific steps to resolve it? Let us know.
2,6,0.80935085,2341915,"3 weeks ago I spoke to a senior engineer on the phone about a problem with my iPhone 7 Plus, i factory reset my phone and it worked like new for 2 days...now I’m having the same problems I was before, sort it out! @115858","@344059 We can definitely partner with you on this. Join us in DM using the link below, and we’ll get started. https://t.co/GDrqU22YpT"
2,7,0.804662,1877151,Safe to say this latest update for iPhone is really screwed up. My phone has never been this bad after an update @AppleSupport get it right!,@560346 That’s not the experience we want you to have. Please reach out to us via Dm and let us know more about the changes. https://t.co/GDrqU22YpT
2,8,0.8034382,2046057,@AppleSupport the new iOS is making my phone freeze!,"@605097 Let's get this sorted out together. Is your iPhone freezing when using any specific applications? DM us your response, please. https://t.co/GDrqU22YpT"
3,1,0.84368336,1742595,Yoo @115858 can we fix this “I️” issue thing 🤷🏾‍♂️,@525658 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
3,2,0.8436147,2543047,@115858 can y’all fix this “I️ “ thing already,"@722988 We want your keyboard working for you; we'll do all we can to help. To start, we released iOS 11.1.1 which is meant to address this issue. If you haven't already, let's update with these steps: https://t.co/ahjigcvFRG"
3,3,0.83288264,2506709,@115858 want are y’all doing to fix this “I️” issue...,@714730 Hey there! We'd like to lend a hand. Could you DM us which Apple device you're using and we can continue from there? https://t.co/GDrqU22YpT
3,4,0.82990414,1584565,@AppleSupport can y’all fix this “I️” thing please it’s starting to get annoying,@487588 We can offer some assistance. DM us the iOS version of the device you're experiencing this on. We'll go from there. https://t.co/GDrqU22YpT
3,5,0.82312906,1975095,@AppleSupport y’all need to fix my “I️” this is annoying,@584897 Let's look into this keyboard issue for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT
3,6,0.8227943,1748697,@115858 you guys gonna fix this “I️” problem or what? It’s getting old now.,@527088 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
3,7,0.82199705,1749531,@AppleSupport you guys better fix this glitch with the LETTER “I”,@527310 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
3,8,0.82147086,1417787,This “I️” glitch is annoying. @115858 fix this mess 🗣,@449542 We want to help you. Send us a DM and let's go from there. https://t.co/GDrqU22YpT
4,1,0.77473795,2631601,AND IMA NEED APPLE TO FIX THAT DAMN  ? ISSUE!!!!! @115858,@570164 Help is here. Send us a DM and we'll check a few things together to get this resolved: https://t.co/GDrqU22YpT
4,2,0.77224684,2441864,"Don't ever contact @AppleSupport if you need help! IF they even answer, they will only hang up or tell you a load of crap. I'm so sick of all of these problems with Apple.
-An Angry Freakin' Customer",@700269 That's not the experience we want you to have.  Send us a DM letting us know more about what you are experiencing.  We'll be glad to help. https://t.co/GDrqU22YpT
4,3,0.76120925,57352,@115858 I told my provider some issues that I have and they told me Apple would probably replace it since I still have a warranty 🤔,"@129004 We're certainly happy to look into all options with you! We've also received your DM message, and will respond from there."
4,4,0.75334084,1467774,@460691 @AppleSupport have had exactly same problem for weeks. Can’t believe Apple havent bought out ... https://t.co/I6HNcAmXgQ,@460690 Let's team up &amp; determine what's going on with your device. Is iOS 11.1 installed? You can check in Settings &gt; General &gt; About.
4,5,0.7449564,656695,@AppleSupport @115858 Pls resolve the issue. It’s very inconvenient. Highly unexpected of an Apple product,"@276267 Thank you. Have you tried restarting the device? If not, please go ahead and restart. If the issue continues, please DM. https://t.co/GDrqU22YpT"
4,6,0.7441583,1984896,"Oh no. This is bad. This is bad, isn’t it? What happened to my Mac, @AppleSupport ? https://t.co/4E4PxMdRCh","@587516 You've come to the right place for help. First, restart your Mac into Safe Mode: https://t.co/PQ4LSYhUTY Questions? DM us. https://t.co/GDrqU22YpT"
4,7,0.7367778,2320083,@AppleSupport Thanks for reaching out I’m guna go to one of your stores and get them to look at it.. disappointing tho not had this experience with an apple product before. Hopefully store can rectify - thanks!,@672416 No problem!  Reach back out if we can be of any assistance.
4,8,0.73471624,1983949,@AppleSupport please help.. been to apple twice in 4 days and still having issues,@587243 We'd love to help. Please click here to join us in DM. We'll continue there: https://t.co/GDrqU22YpT
5,1,0.8707313,2071925,The latest iPhone update has ruined my battery life. Sort it out @115858 @AppleSupport,"@612790 We'd be happy to work through the battery issues you're experiencing with your iPhone. To clarify, did you installed iOS 11.1.2? Tell us via DM and we'll meet up with you there. https://t.co/GDrqU22YpT"
5,2,0.8465836,1802253,This new iPhone update drains my battery so dang bad. Like why? 🙄@AppleSupport,@541528 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
5,3,0.84100205,1680861,@AppleSupport Battery drain since the iOS 11 update. 6s.,@511087 Got it. DM us the exact iOS version and we'll take a look into this. https://t.co/GDrqU22YpT
