customer_tweet_id,customer_text,support_text,candidate_intent,candidate_score,gold_label,label_notes
2408490,My phone freezes every 5 minutes. And will restart. It’s not even a year old phone yet. This is pissing me off @115858.,"@692563 Thank you for reaching out to us. We want to help you with your device. Please DM us the type of iPhone you are using, along with the iOS version. https://t.co/GDrqU22YpT",device_performance,0.57442224,device_performance,
2945713,So my Apple Music is not working. Im not able to search for music. I don't pay for things that don't work. What's going?  @AppleSupport,@813668 Let's get that Apple Music working for you again. What's happening when you try searching for music? Are you connected to cellular data or Wi-Fi when it fails to work correctly?,apple_app_service,0.47682318,apple_app_service,
811798,"i cant access my iphone 7 plus because of this activation lock, helpppp @AppleSupport","@313425 Hi there. We received your DM, and we'll follow up there shortly to see how we can help. https://t.co/GDrqU22YpT",apple_id_account,0.55113375,apple_id_account,
556081,WTF! I think i just lost all my photos on my iPhone.... what the hell?! @AppleSupport,@249897 We love our pictures too. Could you tell us a little more about what happened?,photos_media,0.53622806,photos_media,
2408534,Anyone wanna help a girl out? my iPhone is sending iMessages from my email and not phone number @AppleSupport,"@603221 We are here for you!  Please take a look at this article, which explains how to add a number to your iMessages: https://t.co/R5zxAawOzV",messaging,0.528792,messaging,
1298533,Does anybody else have this issue when they go to text??? No keyboard? Does @115858 expect that I can work it with my mind? https://t.co/ci3BQWPtq3,@423475 Which device and version of iOS are you using (Settings &gt; General &gt; About)? Please be sure to restart your device.,keyboard_text_input,0.43058103,keyboard_text_input,
2432846,"Hi @AppleSupport I find this confusing.
I see the explanation in the settings but are Bluetooth &amp; WiFi truly Off?
Or are they still using power? https://t.co/AngvSraL6b",@698202 Thanks for reaching out. The Wi-Fi and Bluetooth options in the Control Center have changed a bit with iOS 11. This article has more details for reference: https://t.co/G7BHuQnDS6,connectivity,0.4171307,connectivity,
333222,Why you asking for payment information when the app is free?? @AppleSupport @115858,"@195367 We've got this. This article will help you set up an account without payment info on file:
https://t.co/wptMST6TxU",purchase_payment_order,0.5645519,purchase_payment_order,
2476283,@AppleSupport Trying to buy Apple Care for iPad and “Buy Now” sends me here. https://t.co/H8e5msGDTa,@189851 We can assist you. In which country are you located?,purchase_payment_order,0.5539966,purchase_payment_order,
2341904,battery draining within am hour!! \and wont charge from usb point!! Help! @applesupport 11.1.1 battery,"@286121 We'd like to see how we can help with the battery drain and charging. To start, DM us which device you're experiencing this on and we'll start working there. https://t.co/GDrqU22YpT",battery_charging,0.57986116,battery_charging,
