customer_tweet_id,support_tweet_id,customer_author_id,customer_text,support_text,customer_created_at,support_created_at,candidate_intent,candidate_score
553664,553666,249147,"@AppleSupport last night i did, but this didn’t start happening until this morning.",@249147 If you restart the device does the issue remain?,Sat Dec 02 20:33:05 +0000 2017,Sat Dec 02 21:27:56 +0000 2017,purchase_payment_order,0.18891883
588034,588032,258954,@115858 @AppleSupport fix the problems we have with the new update!!!,@258954 We want you to have a good experience with the update. We'll be happy to help with any that you may have. What specific issues are you having with the update?,Sun Dec 03 14:48:55 +0000 2017,Sun Dec 03 16:08:29 +0000 2017,software_update,0.33095336
1414846,1414844,448802,"Merhaba, telefon tuş kilidindeyken kısayoldan hesap makinesi açılınca tuş kilidi açılmadan uygulama kapanmıyor @AppleSupport https://t.co/sZIIhbV35Y",@448802 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3w3RGR,Sat Oct 28 19:40:46 +0000 2017,Sat Oct 28 20:06:33 +0000 2017,messaging,0.20260404
2837256,2837258,135028,@AppleSupport Just spoke to someone on support- thank you,"@135028 Glad to see you were able to speak with our support experts. Feel free to reach out to us if we can be of any further assistance. Our office hours are 7 days a week, from 5AM - 8PM PST. If you contact us after business hours, rest assured we'll respond the following day.",Mon Nov 27 15:29:21 +0000 2017,Mon Nov 27 15:54:00 +0000 2017,purchase_payment_order,0.32107902
1007604,1007603,358439,@36518 hello. Is there problem with @6716 and new @115858 update? Mine kept crashing this morning on watch and didn’t register run.,@358439 Let's work together to figure out what's going on. Tell us which Apple Watch model you're using via DM. https://t.co/GDrqU22YpT,Sat Oct 14 09:08:20 +0000 2017,Sat Oct 14 13:47:31 +0000 2017,device_performance,0.35131413
2774360,2774358,775357,So is @115858 ever planning on fixing this issue —&gt; I️ or nah,@775357 We can help. Tell us which software version you're using. We'll take it from there.,Tue Nov 21 12:38:20 +0000 2017,Tue Nov 21 14:41:10 +0000 2017,device_performance,0.19715682
373654,373653,204545,This update got my phone going slow and battery dying easily. WTF @115858,@204545 We'd like to look into this with you. Which version of iOS 11 are you using? Please reply in DM. https://t.co/GDrqU22YpT,Sun Oct 08 23:49:02 +0000 2017,Mon Oct 09 00:27:00 +0000 2017,software_update,0.3623285
1857512,1857654,555518,@555481 @115858 Happened to me two weeks ago. All my devices are screwy and one computer is completely locked and demanding a pin #. No help at Apple yet,@555518 We'd like to help look into this with you to resolve those issues. DM us &amp; tell us more about what's going on. https://t.co/GDrqU22YpT,Thu Oct 19 07:03:46 +0000 2017,Thu Oct 19 13:33:51 +0000 2017,apple_id_account,0.42041644
1697433,1697432,514886,"@AppleSupport 6s, i was trying trim it under photos",@514886 Thanks for the info. We'd like to move this to DM so we can go into more detail. https://t.co/GDrqU22YpT,Mon Nov 06 22:37:35 +0000 2017,Mon Nov 06 23:39:03 +0000 2017,photos_media,0.23632795
1039372,1039374,365895,"@AppleSupport I've taken all the steps on that page, and still no luck. I think it's a critical issue in iO11 please escalate! Thank you.",@365895 Send us a DM and we'll take a closer look there. https://t.co/GDrqU22YpT,Thu Oct 12 21:28:51 +0000 2017,Thu Oct 12 21:43:32 +0000 2017,software_update,0.07187094
2035961,2035960,601927,iOS11 are you even kidding me right now? My phone is literally hanging and lagging and it wasn’t doing that before I updated @AppleSupport,@601927 We'd love to work together on this with you. Meet us in DM with the iOS version that's currently installed: https://t.co/GDrqU22YpT,Tue Nov 07 17:19:14 +0000 2017,Tue Nov 07 19:52:27 +0000 2017,software_update,0.40976536
1847929,1847927,553398,@AppleSupport ...range of my iPhone when messages fail to send.,@553398 Understood. Does your Watch have an active cellular plan through your carrier?,Thu Oct 19 20:15:16 +0000 2017,Thu Oct 19 20:42:27 +0000 2017,messaging,0.4876492
2113774,2113773,240134,"Also, I tried @AppleSupport work around this glitch and it’s still not working. I guess at this point people know what it’s supposed to mean.",@240134 We'd like to help. DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 08 13:47:47 +0000 2017,Wed Nov 08 17:03:00 +0000 2017,photos_media,0.120026946
2696037,2696039,497113,"@AppleSupport Black screen, white screen sometimes. Draining of battery, slower, and much more😒",@497113 Let's take a look at these issues for you further. Reach out to us in DM. https://t.co/GDrqU22YpT,Sun Nov 19 19:05:24 +0000 2017,Sun Nov 19 19:20:30 +0000 2017,device_performance,0.41663712
2065205,2065204,610726,"@115858 why did my SSD have to fail in my graduate year? More importantly, why did it have to fail when I was watching #ER ?! #nolaptop #sad",@610726 We'd like to see how we can help. DM us with what type of Mac you're using and what country you're currently in. https://t.co/GDrqU22YpT,Sat Oct 07 21:02:24 +0000 2017,Sat Oct 07 22:26:26 +0000 2017,photos_media,0.18334253
1409691,1409689,447663,#HighSierra converts a super laptop in a two times a day crashing piece of shit… @115858 https://t.co/nNZmVLB7ts,@447663 We'd like to help out. Follow up with us in DM. Tell us more details of what you're experiencing there. https://t.co/GDrqU22YpT,Wed Nov 01 22:34:45 +0000 2017,Wed Nov 01 23:11:25 +0000 2017,device_performance,0.31828135
