candidate_intent,rank,similarity,customer_tweet_id,customer_text,support_text
battery_charging,1,0.71740794,1376754,Is it only me or others are also facing #iPhone7 battery drain issue?? @AppleSupport @115858,@440497 We'd like to help. What iOS are you using? Settings &gt; General &gt; About.
battery_charging,2,0.68143916,1785780,@AppleSupport Battery is draining like android,"@536534 We'd like to see how we can help with your iPhone. To get started, send us a DM with more information. We'll meet you there. https://t.co/GDrqU22YpT"
battery_charging,3,0.6673613,2023931,"@AppleSupport hi guys, there's something terribly wrong with the battery life of my phone. I charge it 4 times a day &amp; it still doesn't work","@339585 Hey, thanks for reaching out, we'd like to help with your battery. Let's meet in DM and we'll proceed from there. https://t.co/GDrqU22YpT"
battery_charging,4,0.64231664,429581,#iOS11 is draining battery. #iphone5s @115858 @AppleSupport,@141102 We can help with battery life. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT
battery_charging,5,0.63762915,2306980,@AppleSupport When will you fix the battery draining issue ?,"@669249 Thanks for reaching out. We've worked with you previously while you were using iOS 11.0.2, are you still having the same issue? May we ask which iOS version you're using now?"
battery_charging,6,0.6369931,899555,@AppleSupport care to explain why my battery is draining while plugged in &amp; charging despite no apps or activity working in the background?,@333565 We'd be happy to look into this with you. Send us a DM to get started. https://t.co/GDrqU22YpT
battery_charging,7,0.63196397,619431,@266994 @157897 @AppleSupport Battery draining very quickly,@266993 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
battery_charging,8,0.6312008,777465,"#iOS11 loves battery, draining too fast, need a fix asap @AppleSupport","@305603 We're here for you. First, let's take a look at this: https://t.co/BGb00ts85L"
battery_charging,9,0.63025033,6813,@AppleSupport Please fix the battery life problem. Phone hardly worth using at the moment.,@606862 We’d like to look at that more together. Please let us know what changes you’ve noticed in battery life via DM. https://t.co/GDrqU22YpT
battery_charging,10,0.62814677,2271759,"@AppleSupport my battery is draining very fast, can you either fix it or replace my battery may be?","@660917 We'll be happy to look into your battery concerns and get your iPhone lasting as expected. To get started, we want to be sure you're running the latest software. Go ahead and let us know which iOS version you have installed, located under Settings &gt; General &gt; About."
battery_charging,11,0.62678796,2284086,@AppleSupport Please please give an update for battery draining issue. Instead of others on a priority basis.,@663765 We'd like to look into the issue that you're having with your battery. Tell us which device and software version you're using. Click here to hop in DM with us: https://t.co/GDrqU22YpT
battery_charging,12,0.6255369,995578,"@115858 had bought iPhone 6 about 2 m half years but for past one year facing problems like phone getting off suddenly ,battery gets drained",@355819 We're here to help. What do you see on screen when it turns on? Which version of iOS is it running? Let us know in DM. https://t.co/GDrqU22YpT
battery_charging,13,0.62215865,325508,@115858 fix my battery life,@193541 We'd like to work with you to find the best solution. What type of device are you using? Tell us via DM. https://t.co/GDrqU22YpT
battery_charging,14,0.6152461,2069444,@AppleSupport my battery is draining while it charges 😒 I have an iPhone 7 haven’t even had this shit for a year smh.,"@611993 That's not good! Let's see what we can do for you. First, let's meet in DM with your serial number: https://t.co/BnDvJmV3Rt https://t.co/GDrqU22YpT"
battery_charging,15,0.61473894,2341729,"@115858 Battery starts depleting at ridiculous rate, phone freezes/ shuts down then reboots back with some battery life left, SMS &amp; voicemail messages not coming through &amp; bluetooth sporadically won’t connect to car, speaker phone also won’t work unless I switch phone off🤷🏻‍♀️😒",@677361 Thanks for further clarifying your situation. Did all these behaviors begin at the same time? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT
battery_charging,16,0.61430615,143535,"Hey @116333 @115858 mine and couple of my friends iPhones batteries have been unusually draining since this morning inspite of our usage being normal, is there any specific issue. Please help!",@148428 Let's take a look into this together. Send us a DM with your device information and more information about what you're noticing. https://t.co/GDrqU22YpT
battery_charging,17,0.6102805,2624899,@AppleSupport my device doesn’t seem to be holding charge like it used to. Don’t suppose you could run a diagnostic on it?,@741478 We'd like to take a look at this with you. May we ask which iPhone you have and the iOS version you're using?
