customer_tweet_id,support_tweet_id,customer_author_id,customer_text,support_text,customer_created_at,support_created_at,remove_reason,cluster
2487203,2487201,710386,.@115858 the iPhone 8 speaker still crackling is an issue. When are you guys going to recall and replace?,"@710386 Congratulations on your iPhone 8! We know how important it is to have your device working as expected. To help us look into this, can you confirm which iOS version you're using?",Wed Nov 15 15:10:48 +0000 2017,Wed Nov 15 16:31:01 +0000 2017,,2
1520460,1520459,472651,"My phones due for an upgrade soon, and it’s deciding just to stop working and fucking up 😭 @115858 coincidence?? 🤔","@472651 Hi there, we can help with your current iPhone. Let us know which one you have, which iOS version &amp; what’s happening.",Fri Nov 03 09:53:38 +0000 2017,Fri Nov 03 17:01:28 +0000 2017,,2
2439777,2439776,159059,@AppleSupport what’s the deal with the iPhone X &amp; Bluetooth pairing? I cannot get anything to connect. I had no issues with my iPhone 6+. Is there a patch coming out to fix this issue?,"@159059 We'd be happy to assist you with Bluetooth today, Send us a DM to get started. https://t.co/GDrqU22YpT",Tue Nov 14 21:57:46 +0000 2017,Tue Nov 14 22:25:00 +0000 2017,,1
2361771,2361769,681967,"@AppleSupport Ever since the 10.13.1 update my FaceTime has been messing up. Before I could swipe and switch between screens with no problem. Now, anytime I make FaceTime full screen or even swipe screens with the minimized FaceTime video it freezes and ultimately drops the call","@681967 That doesn’t sound like a very smooth experience with FaceTime, so we want to help.  Does this persist on multiple internet locations?",Mon Nov 13 19:50:23 +0000 2017,Mon Nov 13 21:01:25 +0000 2017,,9
741683,741682,293563,@AppleSupport why device is getting hot on normal usage iphone 6 11.0.2,@293563 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,Wed Oct 11 09:17:37 +0000 2017,Wed Oct 11 13:59:30 +0000 2017,,6
1811754,1811753,544319,I’ve restarted my phone twice already and I’ve been awake for less than 3 hours; restarted 6+ times yesterday. Please fix ios11 @115858 wth 😫,@544319 We'd like to help out. What is your iOS version? You can find that in Settings &gt; General &gt; About. Let us know in DM. https://t.co/GDrqU22YpT,Sun Oct 15 02:20:17 +0000 2017,Sun Oct 15 02:53:53 +0000 2017,,10
1247334,1247336,412654,"@AppleSupport Springboard is borked, slow scroll, no response. Restart is only resort. Search function works, touch works inside apps, but not Springboard",@412654 Thank you for letting us know. Let's get you a resolution. Join us in DM to get started. https://t.co/GDrqU22YpT,Thu Oct 26 01:21:49 +0000 2017,Thu Oct 26 01:30:30 +0000 2017,,9
2169882,2169881,636544,@AppleSupport My vibration on my phone is not working correctly and the camera is not working either on the regular camera option and square https://t.co/xLFQcYMZUg,"@636544 Got it. DM us, and tell us a little bit more about what's not working with them exactly. We'll do whatever we can to help. https://t.co/GDrqU22YpT",Thu Nov 09 03:33:44 +0000 2017,Thu Nov 09 03:54:00 +0000 2017,,1
2113958,2113956,623272,"Hey @AppleSupport whenever you’re able to get to fixing this I️ problem, that would be super cool. I️. I️.  I️. I️.  I️. I️. I️.",@623272 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Wed Nov 08 14:54:01 +0000 2017,Wed Nov 08 16:50:01 +0000 2017,,5
2127335,2127334,626356,@AppleSupport A[?] for you! 🤪 When is it gonna get fixed?,@626356 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Wed Nov 08 17:31:09 +0000 2017,Wed Nov 08 18:57:00 +0000 2017,,5
