customer_tweet_id,support_tweet_id,customer_author_id,customer_text,support_text,customer_created_at,support_created_at,gold_label
689345,689344,284722,"@AppleSupport I’ve got activation lock on my old iPhone, and it’s not recognising the Apple ID I’m putting in,what do I do? 😩","@284722 We're glad you've reached out to us and we'll do all we can to help. When the iPhone is prompting you for the Apple ID, it shows you a few letters. Do they match your Apple ID? Please DM us. https://t.co/GDrqU22YpT",Thu Nov 23 08:30:37 +0000 2017,Thu Nov 23 14:46:00 +0000 2017,apple_id_account
1990236,1990235,589002,What’s Going On With The Keyboard And These Symbols? I️ @AppleSupport,"@589002 Let's look into this together. Send us a DM and let us know which device you're experiencing this behavior with, https://t.co/GDrqU22YpT",Thu Nov 02 13:40:47 +0000 2017,Thu Nov 02 15:46:03 +0000 2017,keyboard_text_input
1671955,1671954,508888,"Hey @AppleSupport I did an iCloud backup but quick question:

WHERE THE FUCK ARE MY PHOTOS",@508888 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,Mon Nov 06 04:02:39 +0000 2017,Mon Nov 06 13:38:29 +0000 2017,photos_media
1924248,1924250,572766,"@AppleSupport How do I tell you about so many issues? My phone has become super slow, heats majorly, apps crash and phone freezes or turns off randomly","@572766 We would go over one issue at a time to get it resolved, then move to the next, we want to move to DM so we can gather that. https://t.co/GDrqU22YpT",Fri Oct 27 13:12:36 +0000 2017,Fri Oct 27 13:26:00 +0000 2017,device_performance
2503729,2503727,714059,Hey @115858 thanks for forcing an iOS on iPhone users that makes a formerly functional phone act like an Android with a virus. People pay more for your products to NOT have these problems. Consumers are getting sick of this. PS I have a 7 plus - the processor should handle updates,@714059 We'd like to hear more about what's going on. What issues are you experiencing with your iPhone 7 Plus?,Wed Nov 15 19:56:52 +0000 2017,Wed Nov 15 20:33:00 +0000 2017,device_performance
2054806,2054805,607714,Hi @116333 what is apple music pls &amp; why am I paying for it?,@607714 You can find out more info about our Apple Music service here: https://t.co/wcUg5i0jsX If you need additional help DM us. https://t.co/GDrqU22YpT,Thu Oct 05 14:05:15 +0000 2017,Thu Oct 05 14:09:26 +0000 2017,apple_app_service
697033,697032,286322,@AppleSupport hi I need help. I've been charged for an app purchase even though I cancelled the subscription to do a different package help!,"@286322 Thanks for reaching out! For this issue, reach out to our awesome iTunes Advisors by phone or chat here: https://t.co/SDIe7UiyJN",Thu Oct 05 22:21:58 +0000 2017,Thu Oct 05 23:24:50 +0000 2017,purchase_payment_order
325518,325517,193544,@AppleSupport  I've got an iPad that says it's charging but seems to be losing battery when it's plugged in. Any ideas?,@193544 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,Sat Oct 07 11:52:25 +0000 2017,Sat Oct 07 15:44:30 +0000 2017,battery_charging
2739462,2739460,767527,"@applesupport Help! This activation lock randomly popped up on my iPhone 6 last night. I know my Apple ID but I forgot my password. If I reset my password on iTunes, will it wreck my phone? I’m the original owner of the phone and it wasn’t stolen. Why did this pop up?! https://t.co/zLCnEWFzbI",@767527 Hey there! Check out this article about Activation Lock: https://t.co/9Wfw6Be2P1 It will provide you with circumstances and explain what to do next.,Mon Nov 20 17:20:05 +0000 2017,Mon Nov 20 17:27:30 +0000 2017,apple_id_account
1149736,1149735,390556,"@AppleSupport my 5 months old iPhone’s battery is draining, specially since I updated iOS. Any tips?","@390556 Let's work on this together. This article has a few tips, try them out and let us know how it goes: https://t.co/bivpdfBNJ6",Tue Oct 24 13:48:23 +0000 2017,Tue Oct 24 14:49:30 +0000 2017,battery_charging
1963818,1963817,157625,Who do I speak to regarding registration for Apple Music? @AppleSupport,@157625 You've found the right place. Let's try the steps in this link first: https://t.co/sCAwjWdSKv DM us if you still need help. https://t.co/GDrqU22YpT,Tue Oct 31 02:44:39 +0000 2017,Tue Oct 31 03:00:00 +0000 2017,apple_app_service
152973,152972,150998,@AppleSupport listen I’m just tryna download some free apps (aka animal crossing) pls just let me do that without having to verify the apple family account person reentering their payment information,@150998 Thanks for reaching out. Are you referring to the 'Ask to Buy' feature? Let us know the details we'd like to ensure we're on the same page to assist.,Thu Nov 23 17:55:02 +0000 2017,Thu Nov 23 18:44:57 +0000 2017,purchase_payment_order
396971,396973,210024,@AppleSupport Wi-Fi i haven’t tried on cellular data,"@210024 OK. To help isolate the issue, let’s have you test it out on cellular data, and let us know what happens.",Mon Oct 09 19:10:07 +0000 2017,Mon Oct 09 20:03:00 +0000 2017,connectivity
1634540,1634539,500013,@AppleSupport why does my phone freeze and restart all the time??? It’s getting frustrating!! I have an iPhone 7,@500013 We're happy to help. DM us which iOS version you're using here: https://t.co/GDrqU22YpT,Sun Nov 05 18:21:20 +0000 2017,Sun Nov 05 20:59:28 +0000 2017,device_performance
110956,110958,140682,"@AppleSupport I have downloaded the update by using software update on the iPhone not through iTunes . The error message is ""some error has occurred while installation """,@140682 We see your DM. We'll continue with you there.,Thu Nov 23 20:07:11 +0000 2017,Thu Nov 23 20:29:55 +0000 2017,software_update
1138013,1138014,388043,@AppleSupport Yes its my everyday wifi,@388043 Thanks for confirming this. Let's check into this in more detail. Send us a DM and we'll continue from there: https://t.co/GDrqU22YpT,Mon Oct 16 12:19:03 +0000 2017,Mon Oct 16 14:11:00 +0000 2017,connectivity
2141648,2141650,322330,@AppleSupport I’m using my laptop &amp; most of my purchase are no longer being showed in all my purchase or not on this device,@322330  We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,Wed Nov 08 22:56:26 +0000 2017,Wed Nov 08 23:18:28 +0000 2017,purchase_payment_order
2754745,2754746,771053,"@AppleSupport 11.1.1, I haven’t tried in sms. Just on iMessage",@771053 Not a problem. Let's continue to work on this in DM. https://t.co/GDrqU22YpT,Mon Nov 20 21:36:05 +0000 2017,Mon Nov 20 21:45:32 +0000 2017,messaging
1429723,1828308,548690,@AppleSupport Everything u sell will drop WiFi and is useless after a while. I’ve got 5 iPads 4 phones all burnt WiFi chips after your endless updates,"@548690 Certainly not expected behavior! Rest assured, we'd love to help with your iPad's Wi-Fi. Please DM us all about it to proceed. https://t.co/GDrqU22YpT",Tue Oct 17 06:20:37 +0000 2017,Tue Oct 17 13:01:47 +0000 2017,connectivity
