customer_text,gold_intent,predicted_intent,classifier_confidence,top_retrieval_similarity,decision,decision_reason,intent_correct
My phone freezes every 5 minutes. And will restart. It’s not even a year old phone yet. This is pissing me off @115858.,device_performance,device_performance,0.9501081473911341,0.8596346974372864,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
So my Apple Music is not working. Im not able to search for music. I don't pay for things that don't work. What's going?  @AppleSupport,apple_app_service,apple_app_service,0.8934806126273653,0.8897519111633301,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"i cant access my iphone 7 plus because of this activation lock, helpppp @AppleSupport",apple_id_account,software_update,0.4975471253417201,0.7919546365737915,HUMAN,Classifier confidence is below the safe handling threshold.,False
WTF! I think i just lost all my photos on my iPhone.... what the hell?! @AppleSupport,photos_media,photos_media,0.9527728291035453,0.8619900941848755,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Anyone wanna help a girl out? my iPhone is sending iMessages from my email and not phone number @AppleSupport,messaging,messaging,0.9085192527688042,0.8198013305664062,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Does anybody else have this issue when they go to text??? No keyboard? Does @115858 expect that I can work it with my mind? https://t.co/ci3BQWPtq3,keyboard_text_input,keyboard_text_input,0.6187098097475721,0.7219419479370117,HUMAN,Classifier confidence is below the safe handling threshold.,True
"Hi @AppleSupport I find this confusing.
I see the explanation in the settings but are Bluetooth &amp; WiFi truly Off?
Or are they still using power? https://t.co/AngvSraL6b",connectivity,connectivity,0.6812503136115463,0.6860637664794922,HUMAN,Classifier confidence is below the safe handling threshold.,True
Why you asking for payment information when the app is free?? @AppleSupport @115858,purchase_payment_order,purchase_payment_order,0.9523699469117097,0.7908889055252075,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport Trying to buy Apple Care for iPad and “Buy Now” sends me here. https://t.co/H8e5msGDTa,purchase_payment_order,purchase_payment_order,0.8300335905683763,0.751102089881897,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
battery draining within am hour!! \and wont charge from usb point!! Help! @applesupport 11.1.1 battery,battery_charging,battery_charging,0.9890825125515008,0.7678419947624207,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport It’s every wifi connection and cellular connection. I’ve gotten every Instagram update. And I got this phone brand new 6 months ago, so it’s not that either.",connectivity,software_update,0.7584816409916341,0.628848671913147,HUMAN,Classifier confidence is below the safe handling threshold.,False
Don’t do the iPhone software update it will mess up &amp; your phone/iPad will become unusable #appleproblems @AppleSupport,software_update,software_update,0.9535198655222672,0.7924805879592896,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport Wi-Fi i haven’t tried on cellular data,connectivity,connectivity,0.6391621217095551,0.862666130065918,HUMAN,Classifier confidence is below the safe handling threshold.,True
Every update I download fucks my iphones up one way or another. ios11 has made it so slow and unresponsive. Good job @115858 @AppleSupport 👍,device_performance,software_update,0.9795518133038115,0.8592309951782227,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",False
"I don’t have any subscription for any services and yet, I still get charged $9.99 every other month. Please fix this @118936 @AppleSupport @115858",purchase_payment_order,purchase_payment_order,0.8984649385930018,0.8054523468017578,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"Hi @AppleSupport I got a new battery 3 weeks ago for my iPhone 6. The battery just started draining really quickly. Like 50 percent in like 2 hours. Says calendar is using all the juice. Then I have the I ""glitch."" What gives?",battery_charging,battery_charging,0.9716387802788091,0.7895790338516235,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@applesupport I’m missing several thousand photos after upgrading to iOS 11. Years worth of content. I sure hope you have a solution.,photos_media,photos_media,0.8170590817088096,0.8461132049560547,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport How do I tell you about so many issues? My phone has become super slow, heats majorly, apps crash and phone freezes or turns off randomly",device_performance,device_performance,0.7660595086041171,0.8313591480255127,HUMAN,Classifier confidence is below the safe handling threshold.,True
".@115858 @AppleSupport luego de la actualización de iOS, se conecta wifi o Bluetooth automáticamente, debo manualmente desconectar, a ello habrá alguna solución? Gracias!!",connectivity,connectivity,0.5705830106166715,0.8028135299682617,HUMAN,Classifier confidence is below the safe handling threshold.,True
"@AppleSupport iPhone 6s, all messages I’m assuming since I don’t know what I’m not receiving and idk",messaging,messaging,0.8558505379729123,0.8116681575775146,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Apple. I️ pay money for your product and you won’t even let me type an i instead i get this I️. Explain  @AppleSupport,keyboard_text_input,purchase_payment_order,0.7714021982087047,0.6849583387374878,HUMAN,Classifier confidence is below the safe handling threshold.,False
@AppleSupport why would all my pictures besides the ones I took yesterday just suddenly disappear,photos_media,photos_media,0.9079427687677393,0.9001144766807556,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport All apps are just freezing, home screen is freezing, lock screen is freezing, on button freezes (phone stays blank when tryna unlock it) all depends on what I’m doing at the time. Doesn’t seem to be a thing that triggers it, just happens!",device_performance,device_performance,0.9533452228653839,0.8031126260757446,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"Wish #Apple would remember what I had on, before I turned on the #AirplaneMode. Now, once I goto AirplaneMode &amp; later switch it off, then by default, #iPhone  switches on WiFi,Bluetooth &amp; CellularData. #iOS11 #userexperience #uxdesign @115858 https://t.co/ZHUrecCVsI",connectivity,connectivity,0.7200914803263506,0.7609692811965942,HUMAN,Classifier confidence is below the safe handling threshold.,True
My question was: Why keep the wi-fi (and Bluetooth) going on once I switched them off? @AppleSupport https://t.co/shktfG16s4,connectivity,connectivity,0.79102778701509,0.7795836925506592,HUMAN,Classifier confidence is below the safe handling threshold.,True
"My entire phone isn't working! @115858 every app is crashing, my phone literally freezes every 2-3 mins WTF?! @AppleSupport",device_performance,device_performance,0.9383684814290051,0.8733342885971069,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
why is wifi not automatically connecting when i come home? which location service do i need to enable? @AppleSupport,connectivity,connectivity,0.6094050778814001,0.7838717103004456,HUMAN,Classifier confidence is below the safe handling threshold.,True
"Hey @AppleSupport, some iMessages are coming in duplicate as text messages. Is this a you thing or a carrier thing?",messaging,messaging,0.9649039993608118,0.7764455080032349,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport why is my batter life draining for not using my phone? Why can’t I send texts to people who don’t iPhones? What’s with “i”??,messaging,messaging,0.647886300212068,0.7231463193893433,HUMAN,Classifier confidence is below the safe handling threshold.,True
