customer_tweet_id,customer_text,support_text
553664,"@AppleSupport last night i did, but this didn’t start happening until this morning.",@249147 If you restart the device does the issue remain?
588034,@115858 @AppleSupport fix the problems we have with the new update!!!,@258954 We want you to have a good experience with the update. We'll be happy to help with any that you may have. What specific issues are you having with the update?
1414846,"Merhaba, telefon tuş kilidindeyken kısayoldan hesap makinesi açılınca tuş kilidi açılmadan uygulama kapanmıyor @AppleSupport https://t.co/sZIIhbV35Y",@448802 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3w3RGR
2837256,@AppleSupport Just spoke to someone on support- thank you,"@135028 Glad to see you were able to speak with our support experts. Feel free to reach out to us if we can be of any further assistance. Our office hours are 7 days a week, from 5AM - 8PM PST. If you contact us after business hours, rest assured we'll respond the following day."
1007604,@36518 hello. Is there problem with @6716 and new @115858 update? Mine kept crashing this morning on watch and didn’t register run.,@358439 Let's work together to figure out what's going on. Tell us which Apple Watch model you're using via DM. https://t.co/GDrqU22YpT
2774360,So is @115858 ever planning on fixing this issue —&gt; I️ or nah,@775357 We can help. Tell us which software version you're using. We'll take it from there.
373654,This update got my phone going slow and battery dying easily. WTF @115858,@204545 We'd like to look into this with you. Which version of iOS 11 are you using? Please reply in DM. https://t.co/GDrqU22YpT
1857512,@555481 @115858 Happened to me two weeks ago. All my devices are screwy and one computer is completely locked and demanding a pin #. No help at Apple yet,@555518 We'd like to help look into this with you to resolve those issues. DM us &amp; tell us more about what's going on. https://t.co/GDrqU22YpT
1697433,"@AppleSupport 6s, i was trying trim it under photos",@514886 Thanks for the info. We'd like to move this to DM so we can go into more detail. https://t.co/GDrqU22YpT
1039372,"@AppleSupport I've taken all the steps on that page, and still no luck. I think it's a critical issue in iO11 please escalate! Thank you.",@365895 Send us a DM and we'll take a closer look there. https://t.co/GDrqU22YpT
2035961,iOS11 are you even kidding me right now? My phone is literally hanging and lagging and it wasn’t doing that before I updated @AppleSupport,@601927 We'd love to work together on this with you. Meet us in DM with the iOS version that's currently installed: https://t.co/GDrqU22YpT
1847929,@AppleSupport ...range of my iPhone when messages fail to send.,@553398 Understood. Does your Watch have an active cellular plan through your carrier?
2113774,"Also, I tried @AppleSupport work around this glitch and it’s still not working. I guess at this point people know what it’s supposed to mean.",@240134 We'd like to help. DM us and we'll go from there. https://t.co/GDrqU22YpT
2696037,"@AppleSupport Black screen, white screen sometimes. Draining of battery, slower, and much more😒",@497113 Let's take a look at these issues for you further. Reach out to us in DM. https://t.co/GDrqU22YpT
2065205,"@115858 why did my SSD have to fail in my graduate year? More importantly, why did it have to fail when I was watching #ER ?! #nolaptop #sad",@610726 We'd like to see how we can help. DM us with what type of Mac you're using and what country you're currently in. https://t.co/GDrqU22YpT
1409691,#HighSierra converts a super laptop in a two times a day crashing piece of shit… @115858 https://t.co/nNZmVLB7ts,@447663 We'd like to help out. Follow up with us in DM. Tell us more details of what you're experiencing there. https://t.co/GDrqU22YpT
2908041,"@AppleSupport Hi, thanks. Yes, I have received an email confirming the request and that it’s ready for recovery. I follow the steps, enter my security info and enter the code sent via text msg. It then says info on how to recover the account will be texted to me but I don’t receive anything.",@805162 Thanks for the additional info. Let's take a closer look into this in DM. Send us a message and we'll follow up there. https://t.co/GDrqU22YpT
447404,@AppleSupport I was under impression eu law says electronic goods must be covered for 2 years?,@167333 Let's take a closer look into service options together in DM. Send us a message with the country you're located in. https://t.co/GDrqU22YpT
2835753,How tf my phone die in 9 mins @AppleSupport https://t.co/yyBg1ZJOME,@789320 We want your battery to last considerably longer than that. Let us know what iOS you're running in a DM and we'll find out what's going on with you. https://t.co/GDrqU22YpT
1830368,@549264 Huh. I called @117735. No help. I’ll try @AppleSupport,@549263 We'd love to look at what's going on with your iPad. Let us know in a DM what you've already gone through with your carrier. https://t.co/GDrqU22YpT
858896,@AppleSupport  why is my iPhone 6S which is 6 months old going from 100% to 10% battery in 3 hours whilst only listening to music on ios11??,@323923 We want your battery to work as expected. Send us a DM and we'll see what we can do to help. https://t.co/GDrqU22YpT
1007643,"@AppleSupport Yes, I can.",@355838 Got it. We're going to need to dig deeper than we can do in 140 characters. Can you please join us in DM? https://t.co/GDrqU22YpT
2230716,@AppleSupport iphone 6 with 11.0.3 running.,@650960 Got it. Move to DM with us and we'll take a closer look. https://t.co/GDrqU22YpT
1974116,"@AppleSupport the problem is still exist. 
#ridiculous",@539364 Thanks for letting us know. Let's look into this together. Join us in DM with more details about the battery drain. https://t.co/GDrqU22YpT
87082,@AppleSupport Now this is popping up and my macintosh hd disk is no longer an option. This happened after I was downloading the new Mac OS Sierra. https://t.co/3uUwqn0PFg,"@135062 To make sure we're on the same page, where is Macintosh HD no longer showing? If you open up Disk Utility, do you see it listed on the left of that window?"
1689417,No @AppleSupport needs to fix this shit https://t.co/wdFM30WQ2h,@512949 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
63225,I️ just updated my phone again and still can’t text  I️ @AppleSupport,"@130507 We can help. What is the current iOS version you have installed? Let us know more in DM, please. https://t.co/GDrqU22YpT"
1474122,@AppleSupport The biggest issue I am having at the moment is my phone freezing and being kicked out of apps. Specifically Snapchat at the moment,@462197 Do you know if all the apps including Snapchat are up-to-date on the iPhone? Let us know in DM to proceed. https://t.co/GDrqU22YpT
1794929,@115858 @116333 @123857 why is FaceTime Audio the most broken iPhone feature. Had an iPhone for 10yrs. This feature is always glitchy...,"@539368 Hey there, Scott! FaceTime Audio should be clearer than any other call! Hop into our DM and let us know which phone you have. https://t.co/GDrqU22YpT"
1670137,@AppleSupport why doesn’t @1122 work with music part of control centre or show up on my lock screen since latest update?,@508441 Let's take a look at this for you. Reach out to us in DM. https://t.co/GDrqU22YpT
202465,"@AppleSupport I see the option.  It plays the song at full blast 100% of the time.  Version 11.0.2, just upgraded.  Had the same awful result w/ 11.0.1.",@163865 Got it. Thanks for confirming. Let's meet in DM to continue working on this. https://t.co/GDrqU22YpT
